country_code,country_name,row,outlet,url,health_status,http_status,checked_at
US,United States,1,The New York Times,https://www.nytimes.com/sitemaps/new/news.xml.gz,needs verification,N/A,
US,United States,3,Wall Street Journal,https://feeds.a.dj.com/rss/RSSWorldNews.xml,valid,200,2026-04-13T16:53:00.679Z
US,United States,undefined,USA Today - News Sitemap,https://www.usatoday.com/news-sitemap.xml,needs verification,N/A,
US,United States,5,LA Times,https://www.latimes.com/news-sitemap-latest.xml,needs verification,N/A,
US,United States,6,CNN,http://rss.cnn.com/rss/cnn_topstories.rss,valid,200,2026-04-13T16:53:00.679Z
US,United States,undefined,CNN - News Sitemap,https://www.cnn.com/sitemap/news.xml,needs verification,N/A,
US,United States,7,Fox News,https://feeds.foxnews.com/foxnews/latest,valid,200,2026-04-13T16:53:00.680Z
US,United States,8,NBC News,https://feeds.nbcnews.com/nbcnews/public/news,valid,200,2026-04-13T16:53:00.680Z
US,United States,9,CBS News,https://www.cbsnews.com/latest/rss/main,valid,200,2026-04-13T16:53:00.680Z
US,United States,10,ABC News,https://feeds.abcnews.com/abcnews/topstories,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,ABC News - U.S.,https://feeds.abcnews.com/abcnews/usheadlines,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,ABC News - Politics,https://feeds.abcnews.com/abcnews/politicsheadlines,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,ABC News - International,https://feeds.abcnews.com/abcnews/internationalheadlines,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,ABC News - Business,https://feeds.abcnews.com/abcnews/businessheadlines,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,ABC News - Technology,https://feeds.abcnews.com/abcnews/technologyheadlines,valid,200,2026-04-13T16:53:00.680Z
US,United States,11,NPR,https://feeds.npr.org/1001/rss.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,Washington Post,https://www.washingtonpost.com/sitemaps/news-sitemap.xml.gz,needs verification,N/A,
US,United States,undefined,Associated Press - News Sitemap,https://apnews.com/news-sitemap-content.xml,needs verification,N/A,
US,United States,undefined,The New York Times - U.S.,https://rss.nytimes.com/services/xml/rss/nyt/US.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,The New York Times - Business,https://rss.nytimes.com/services/xml/rss/nyt/Business.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,The New York Times - Technology,https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,The New York Times - World,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,The New York Times - Politics,https://rss.nytimes.com/services/xml/rss/nyt/Politics.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,LA Times - World & Nation,https://www.latimes.com/world-nation/rss2.0.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,LA Times - Politics,https://www.latimes.com/politics/rss2.0.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,LA Times - Business,https://www.latimes.com/business/rss2.0.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,LA Times - California,https://www.latimes.com/california/rss2.0.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,Politico Politics,https://rss.politico.com/politics-news.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,Politico Congress,https://rss.politico.com/congress.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,Politico White House,https://rss.politico.com/whitehouse.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,Politico Playbook,https://rss.politico.com/playbook.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,Washington Post - World,https://feeds.washingtonpost.com/rss/world,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,Washington Post - National,https://feeds.washingtonpost.com/rss/national,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,Washington Post - Politics,https://feeds.washingtonpost.com/rss/politics,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,NPR - Politics,https://feeds.npr.org/1014/rss.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,NPR - Business,https://feeds.npr.org/1003/rss.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,NPR - World,https://feeds.npr.org/1004/rss.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,NPR - Science,https://feeds.npr.org/1007/rss.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,NPR - Technology,https://feeds.npr.org/1019/rss.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,Fox News - Politics,https://feeds.foxnews.com/foxnews/politics,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,Fox News - National,https://feeds.foxnews.com/foxnews/national,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,Fox News - World,https://feeds.foxnews.com/foxnews/world,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,CBS News - Politics,https://www.cbsnews.com/latest/rss/politics,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,CBS News - World,https://www.cbsnews.com/latest/rss/world,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,CBS News - U.S.,https://www.cbsnews.com/latest/rss/us,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,NBC News - Politics,https://feeds.nbcnews.com/nbcnews/public/politics,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,NBC News - World,https://feeds.nbcnews.com/nbcnews/public/world,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,NBC News - U.S.,https://feeds.nbcnews.com/nbcnews/public/us-news,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,NBC News - Business,https://feeds.nbcnews.com/nbcnews/public/business,valid,200,2026-04-13T16:53:00.680Z
US,United States,14,HuffPost,https://www.huffpost.com/section/front-page/feed,valid,200,2026-04-13T16:53:00.680Z
US,United States,15,BuzzFeed News,https://www.buzzfeednews.com/news.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,17,Vox,https://www.vox.com/rss/index.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,19,CNBC,https://www.cnbc.com/id/100003114/device/rss/rss.html,valid,200,2026-04-13T16:53:00.680Z
US,United States,20,Financial Times,https://www.ft.com/?format=rss,valid,200,2026-04-13T16:53:00.680Z
US,United States,21,Forbes,https://www.forbes.com/most-popular/feed/,valid,200,2026-04-13T16:53:00.680Z
US,United States,22,Fortune,https://fortune.com/feed,valid,200,2026-04-13T16:53:00.680Z
US,United States,23,Business Insider,https://www.businessinsider.com/rss,valid,200,2026-04-13T16:53:00.680Z
US,United States,24,MarketWatch,http://feeds.marketwatch.com/marketwatch/topstories/,valid,200,2026-04-13T16:53:00.680Z
US,United States,27,Fast Company,https://www.fastcompany.com/rss,valid,200,2026-04-13T16:53:00.680Z
US,United States,28,TechCrunch,https://techcrunch.com/feed/,valid,200,2026-04-13T16:53:00.680Z
US,United States,29,The Verge,https://www.theverge.com/rss/index.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,30,Wired,https://www.wired.com/feed/rss,valid,200,2026-04-13T16:53:00.680Z
US,United States,31,Ars Technica,http://feeds.arstechnica.com/arstechnica/index,valid,200,2026-04-13T16:53:00.680Z
US,United States,32,Engadget,https://www.engadget.com/rss.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,33,VentureBeat,https://venturebeat.com/feed/,valid,200,2026-04-13T16:53:00.680Z
US,United States,34,Mashable,https://mashable.com/feed,valid,200,2026-04-13T16:53:00.680Z
US,United States,35,Gizmodo,https://gizmodo.com/rss,valid,200,2026-04-13T16:53:00.680Z
US,United States,36,CNET,https://www.cnet.com/rss/news/,valid,200,2026-04-13T16:53:00.680Z
US,United States,37,ZDNet,https://www.zdnet.com/news/rss.xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,39,The Hill,https://thehill.com/feed,valid,200,2026-04-13T16:53:00.680Z
US,United States,40,Axios,https://api.axios.com/feed/,valid,200,2026-04-13T16:53:00.680Z
US,United States,41,Breitbart,http://feeds.feedburner.com/breitbart,valid,200,2026-04-13T16:53:00.680Z
US,United States,42,National Review,https://www.nationalreview.com/feed/,valid,200,2026-04-13T16:53:00.680Z
US,United States,43,Slate,https://slate.com/feeds/all.rss,valid,200,2026-04-13T16:53:00.680Z
US,United States,44,The New Yorker,https://www.newyorker.com/feed/everything,valid,200,2026-04-13T16:53:00.680Z
US,United States,45,The Atlantic,https://www.theatlantic.com/feed/all/,valid,200,2026-04-13T16:53:00.680Z
US,United States,60,Boston Globe,https://www.bostonglobe.com/arc/outboundfeeds/rss?outputType=xml,valid,200,2026-04-13T16:53:00.680Z
US,United States,64,New York Post,https://nypost.com/feed,valid,200,2026-04-13T16:53:00.680Z
US,United States,undefined,New York Post - US News,https://nypost.com/us-news/feed/,needs verification,N/A,
US,United States,undefined,New York Post - World News,https://nypost.com/world-news/feed/,needs verification,N/A,
US,United States,65,Chicago Tribune,https://www.chicagotribune.com/sitemap.xml,needs verification,N/A,
