region,outlet_id,source,country,source_type,review_decision,attempted_endpoints,failed_endpoints,failure_rate,parsed_count,recent_24h,errors
LATAM,pauta,Pauta,Chile,portal,keep_secondary,1,0,0.0000,100,6,
US,quartz,Quartz,United States,portal,keep_secondary,1,0,0.0000,100,6,
US,scripps-news,Scripps News,United States,portal,keep_secondary,1,0,0.0000,100,6,
US,space-com,Space.com,United States,portal,keep_secondary,1,0,0.0000,100,6,
US,atlanta-journal-constitution,Atlanta Journal-Constitution,United States,portal,keep_secondary,1,0,0.0000,100,5,
US,mother-jones,Mother Jones,United States,portal,exploratory_off_by_default,1,0,0.0000,100,5,
US,propublica,ProPublica,United States,portal,keep_secondary,1,0,0.0000,100,5,
US,san-diego-union-tribune,San Diego Union-Tribune,United States,portal,keep_secondary,1,0,0.0000,100,5,
LATAM,chequeado,Chequeado,Argentina,portal,exploratory_off_by_default,1,0,0.0000,100,4,
LATAM,el-mercurio-cl,El Mercurio CL,Chile,portal,exploratory_off_by_default,1,0,0.0000,100,4,
US,houston-chronicle,Houston Chronicle,United States,portal,exploratory_off_by_default,1,0,0.0000,100,4,
LATAM,busqueda,Busqueda,Uruguay,local,keep_secondary,1,0,0.0000,100,3,
US,the-intercept,The Intercept,United States,portal,exploratory_off_by_default,1,0,0.0000,100,3,
US,vanity-fair,Vanity Fair,United States,portal,exploratory_off_by_default,1,0,0.0000,100,3,
LATAM,ap-uruguay-desk,AP Uruguay Desk,Uruguay,global,keep_secondary,1,0,0.0000,100,2,
LATAM,el-pais-uy,El Pais UY,Uruguay,local,verified_core,1,0,0.0000,100,2,
US,jacobin,Jacobin,United States,portal,exploratory_off_by_default,1,0,0.0000,100,2,
US,las-vegas-review-journal,Las Vegas Review-Journal,United States,portal,exploratory_off_by_default,1,0,0.0000,100,2,
US,the-athletic,The Athletic,United States,portal,exploratory_off_by_default,1,0,0.0000,9,2,
US,venturebeat,VentureBeat,United States,global,keep_secondary,1,0,0.0000,7,2,
LATAM,ap-argentina-desk,AP Argentina Desk,Argentina,global,keep_secondary,1,0,0.0000,100,1,
LATAM,ap-chile-desk,AP Chile Desk,Chile,global,keep_secondary,1,0,0.0000,100,1,
LATAM,reuters-uruguay-desk,Reuters Uruguay Desk,Uruguay,global,keep_secondary,1,0,0.0000,100,1,
US,scientific-american,Scientific American,United States,portal,exploratory_off_by_default,1,0,0.0000,100,1,
US,webmd,WebMD,United States,portal,exploratory_off_by_default,1,0,0.0000,100,1,
US,barrons,Barrons,United States,global,keep_secondary,1,1,1.0000,0,0,rss:err:Unable to connect. Is the computer able to access the url?
LATAM,canal-10-uy,Canal 10 UY,Uruguay,portal,exploratory_off_by_default,1,0,0.0000,100,0,
US,forbes,Forbes,United States,global,keep_secondary,1,0,0.0000,11,0,
US,gq,GQ,United States,portal,keep_secondary,1,0,0.0000,0,0,
US,huffpost,HuffPost,United States,global,keep_secondary,1,0,0.0000,0,0,
US,inc-magazine,Inc Magazine,United States,global,keep_secondary,1,1,1.0000,0,0,rss:http_404
LATAM,la-diaria,La Diaria,Uruguay,portal,exploratory_off_by_default,1,0,0.0000,100,0,
LATAM,la-discusion,La Discusion,Chile,portal,keep_secondary,1,0,0.0000,0,0,
LATAM,la-republica-uy,La Republica UY,Uruguay,portal,exploratory_off_by_default,1,0,0.0000,0,0,
US,national-geographic,National Geographic,United States,portal,exploratory_off_by_default,1,0,0.0000,100,0,
US,politico,Politico,United States,global,verified_core,1,1,1.0000,0,0,rss:http_403
LATAM,pulso-chile,Pulso Chile,Chile,portal,exploratory_off_by_default,1,0,0.0000,0,0,
US,time,Time,United States,portal,exploratory_off_by_default,1,0,0.0000,100,0,
US,usa-today,USA Today,United States,global,verified_core,1,0,0.0000,0,0,
LATAM,uypress,UyPress,Uruguay,portal,exploratory_off_by_default,1,0,0.0000,100,0,
US,vice-news,Vice News,United States,global,keep_secondary,1,1,1.0000,0,0,rss:http_404
US,wall-street-journal,Wall Street Journal,United States,global,verified_core,1,0,0.0000,20,0,
