outlet_id,source,tier,country,source_type,review_decision,rss_parsed,sitemap_parsed,rss_24h,sitemap_24h,total_24h,rss_unique_24h,sitemap_unique_24h,unique_24h,dedupe_rate,rss_url,sitemap_url,errors
the-intercept,The Intercept,2,US,portal,exploratory_off_by_default,100,0,2,0,2,2,0,2,0.0000,https://news.google.com/rss/search?q=site:theintercept.com&ceid=US:en&hl=en-US&gl=US,,
vanity-fair,Vanity Fair,2,US,portal,exploratory_off_by_default,100,0,2,0,2,2,0,2,0.0000,https://news.google.com/rss/search?q=site:vanityfair.com&ceid=US:en&hl=en-US&gl=US,,
ap-argentina-desk,AP Argentina Desk,2,Argentina,global,keep_secondary,100,0,1,0,1,1,0,1,0.0000,https://news.google.com/rss/search?q=Argentina+site:apnews.com&ceid=US:en&hl=en-US&gl=US,,
atlanta-journal-constitution,Atlanta Journal-Constitution,2,US,portal,keep_secondary,100,0,1,0,1,1,0,1,0.0000,https://news.google.com/rss/search?q=site:ajc.com&ceid=US:en&hl=en-US&gl=US,,
bing-latam-business-topic,Bing LATAM Business Topic,2,LATAM,portal,keep_secondary,12,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=Latinoamerica+economia&format=RSS&setlang=es,,
bing-metro-new-orleans,Bing Metro: New Orleans,2,US,portal,keep_secondary,4,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=New%20Orleans%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-new-york,Bing Metro: New York,2,US,portal,keep_secondary,12,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=New%20York%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-sacramento,Bing Metro: Sacramento,2,US,portal,keep_secondary,5,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=Sacramento%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-san-diego,Bing Metro: San Diego,2,US,portal,keep_secondary,9,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=San%20Diego%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-seattle,Bing Metro: Seattle,2,US,portal,keep_secondary,9,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=Seattle%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-state-california,Bing State: California,2,US,portal,keep_secondary,11,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=California%20business%20economy&format=RSS&setlang=en-us,,
bing-state-connecticut,Bing State: Connecticut,2,US,portal,keep_secondary,10,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=Connecticut%20business%20economy&format=RSS&setlang=en-us,,
bing-state-illinois,Bing State: Illinois,2,US,portal,keep_secondary,10,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=Illinois%20business%20economy&format=RSS&setlang=en-us,,
bing-state-kentucky,Bing State: Kentucky,2,US,portal,keep_secondary,12,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=Kentucky%20business%20economy&format=RSS&setlang=en-us,,
bing-state-maryland,Bing State: Maryland,2,US,portal,keep_secondary,9,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=Maryland%20business%20economy&format=RSS&setlang=en-us,,
bing-state-nebraska,Bing State: Nebraska,2,US,portal,keep_secondary,10,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=Nebraska%20business%20economy&format=RSS&setlang=en-us,,
bing-state-nevada,Bing State: Nevada,2,US,portal,keep_secondary,6,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=Nevada%20business%20economy&format=RSS&setlang=en-us,,
bing-state-new-hampshire,Bing State: New Hampshire,2,US,portal,keep_secondary,9,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=New%20Hampshire%20business%20economy&format=RSS&setlang=en-us,,
bing-state-new-york,Bing State: New York,2,US,portal,keep_secondary,9,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=New%20York%20business%20economy&format=RSS&setlang=en-us,,
bing-state-north-carolina,Bing State: North Carolina,2,US,portal,keep_secondary,11,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=North%20Carolina%20business%20economy&format=RSS&setlang=en-us,,
bing-state-oklahoma,Bing State: Oklahoma,2,US,portal,keep_secondary,5,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=Oklahoma%20business%20economy&format=RSS&setlang=en-us,,
bing-state-south-carolina,Bing State: South Carolina,2,US,portal,keep_secondary,10,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=South%20Carolina%20business%20economy&format=RSS&setlang=en-us,,
bing-state-south-dakota,Bing State: South Dakota,2,US,portal,keep_secondary,7,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=South%20Dakota%20business%20economy&format=RSS&setlang=en-us,,
bing-state-utah,Bing State: Utah,2,US,portal,keep_secondary,10,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=Utah%20business%20economy&format=RSS&setlang=en-us,,
bing-state-vermont,Bing State: Vermont,2,US,portal,keep_secondary,9,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=Vermont%20business%20economy&format=RSS&setlang=en-us,,
bing-state-wisconsin,Bing State: Wisconsin,2,US,portal,keep_secondary,6,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=Wisconsin%20business%20economy&format=RSS&setlang=en-us,,
bing-us-latam-focus-argentina-markets-us,Bing US LATAM Focus: argentina-markets-us,2,US,portal,keep_secondary,9,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=Argentina%20stocks%20bonds%20peso%20inflation&format=RSS&setlang=en-us,,
bing-us-variant-earnings-corporate,Bing US Variant: earnings-corporate,2,US,portal,keep_secondary,11,0,1,0,1,1,0,1,0.0000,https://www.bing.com/news/search?q=US%20earnings%20corporate%20results%20latest&format=RSS&setlang=en-us,,
google-us-latam-focus-uruguay-politics-us,Google US LATAM Focus: uruguay-politics-us,2,US,portal,keep_secondary,1,0,1,0,1,1,0,1,0.0000,https://news.google.com/rss/search?q=Uruguay%20government%20policy%20elections%20latest%20when%3A1d&ceid=US:en&hl=en-US&gl=US,,
national-geographic,National Geographic,2,US,portal,exploratory_off_by_default,100,0,1,0,1,1,0,1,0.0000,https://news.google.com/rss/search?q=site:nationalgeographic.com&ceid=US:en&hl=en-US&gl=US,,
reuters-uruguay-desk,Reuters Uruguay Desk,2,Uruguay,global,keep_secondary,100,0,1,0,1,1,0,1,0.0000,https://news.google.com/rss/search?q=Uruguay+site:reuters.com&ceid=US:en&hl=en-US&gl=US,,
venturebeat,VentureBeat,2,US,global,keep_secondary,7,0,1,0,1,1,0,1,0.0000,https://venturebeat.com/feed/,,
webmd,WebMD,2,US,portal,exploratory_off_by_default,100,0,1,0,1,1,0,1,0.0000,https://news.google.com/rss/search?q=site:webmd.com&ceid=US:en&hl=en-US&gl=US,,
barrons,Barrons,2,US,global,keep_secondary,0,0,0,0,0,0,0,0,0.0000,https://feeds.barrons.com/rss/TGW,,rss:err:Unable to connect. Is the computer able to access the url?
bing-chile-detail-politics,Bing Chile Detail: politics,2,Chile,portal,keep_secondary,10,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Chile%20politica%20hoy&format=RSS&setlang=es,,
bing-chile-detail-world,Bing Chile Detail: world,2,Chile,portal,keep_secondary,8,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Chile%20sociedad%20hoy&format=RSS&setlang=es,,
bing-latam-politics-topic,Bing LATAM Politics Topic,2,LATAM,portal,keep_secondary,10,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Latinoamerica+politica&format=RSS&setlang=es,,
bing-metro-albuquerque,Bing Metro: Albuquerque,2,US,portal,keep_secondary,3,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Albuquerque%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-arlington,Bing Metro: Arlington,2,US,portal,keep_secondary,4,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Arlington%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-atlanta,Bing Metro: Atlanta,2,US,portal,keep_secondary,6,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Atlanta%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-aurora,Bing Metro: Aurora,2,US,portal,keep_secondary,2,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Aurora%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-austin,Bing Metro: Austin,2,US,portal,keep_secondary,7,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Austin%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-bakersfield,Bing Metro: Bakersfield,2,US,portal,keep_secondary,3,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Bakersfield%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-baltimore,Bing Metro: Baltimore,2,US,portal,keep_secondary,4,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Baltimore%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-boston,Bing Metro: Boston,2,US,portal,keep_secondary,8,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Boston%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-charlotte,Bing Metro: Charlotte,2,US,portal,keep_secondary,2,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Charlotte%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-chicago,Bing Metro: Chicago,2,US,portal,keep_secondary,6,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Chicago%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-cleveland,Bing Metro: Cleveland,2,US,portal,keep_secondary,5,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Cleveland%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-columbus,Bing Metro: Columbus,2,US,portal,keep_secondary,2,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Columbus%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-dallas,Bing Metro: Dallas,2,US,portal,keep_secondary,6,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Dallas%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-denver,Bing Metro: Denver,2,US,portal,keep_secondary,7,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Denver%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-detroit,Bing Metro: Detroit,2,US,portal,keep_secondary,0,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Detroit%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-el-paso,Bing Metro: El Paso,2,US,portal,keep_secondary,0,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=El%20Paso%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-fort-worth,Bing Metro: Fort Worth,2,US,portal,keep_secondary,1,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Fort%20Worth%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-fresno,Bing Metro: Fresno,2,US,portal,keep_secondary,3,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Fresno%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-honolulu,Bing Metro: Honolulu,2,US,portal,keep_secondary,5,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Honolulu%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-houston,Bing Metro: Houston,2,US,portal,keep_secondary,5,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Houston%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-indianapolis,Bing Metro: Indianapolis,2,US,portal,keep_secondary,3,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Indianapolis%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-jacksonville,Bing Metro: Jacksonville,2,US,portal,keep_secondary,2,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Jacksonville%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-kansas-city,Bing Metro: Kansas City,2,US,portal,keep_secondary,1,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Kansas%20City%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-las-vegas,Bing Metro: Las Vegas,2,US,portal,keep_secondary,11,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Las%20Vegas%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-los-angeles,Bing Metro: Los Angeles,2,US,portal,keep_secondary,5,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Los%20Angeles%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-louisville,Bing Metro: Louisville,2,US,portal,keep_secondary,4,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Louisville%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-memphis,Bing Metro: Memphis,2,US,portal,keep_secondary,2,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Memphis%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-miami,Bing Metro: Miami,2,US,portal,keep_secondary,6,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Miami%20technology%20startups%20ai&format=RSS&setlang=en-us,,
